chunk,page,difficulty,topic,question,option_A,option_B,option_C,option_D,correct_answer
1,0,Easy,Chemical Change,Which of the following is the best indication that a chemical change has occurred?,"A change in state, such as melting.",A change in color or odor.,Dissolving a substance in water.,Crushing a solid into a powder.,B
1,0,Medium,Chemical Reactions,"In a chemical reaction, what is fundamentally altered?",The number of atoms of each element.,The physical state of the reactants.,The arrangement of atoms within molecules.,The total mass of the system.,C
1,0,Hard,Conservation of Mass,"Considering the law of conservation of mass, if a reaction produces a gas that escapes into the atmosphere, how would you accurately determine the mass of the products?",Measure the mass of the remaining solid and liquid products.,Assume the mass of the gas is negligible and only measure the remaining products.,Trap and measure the mass of the gas in addition to the remaining products.,Calculate the theoretical yield of the products based on the initial reactants and subtract any observed mass loss.,C
2,1,Easy,Chemical Reaction Indicators,Which of the following observations most directly suggests that a chemical reaction has occurred?,Decrease in pressure,Change in volume,Change in color,Increase in density,C
2,1,Medium,Chemical Equations,"In a chemical equation, what does the arrow typically indicate?",The need for a catalyst,The direction of the reaction,The equilibrium state,The presence of heat,B
2,1,Hard,Reactants and Products,Which of the following statements accurately describes the relationship between reactants and products in a chemical reaction?,Reactants are formed from products.,Products are transformed into reactants.,"Reactants are the initial substances, while products are the final substances.",Reactants and products always have the same physical state.,C
3,2,Easy,Chemical Equations,Which of the following best describes a chemical equation?,A list of ingredients needed for a reaction.,A visual representation of a chemical reaction using symbols and formulae.,A detailed description of the steps in a chemical reaction.,A scientific hypothesis about a chemical reaction.,B
3,2,Medium,Balancing Equations,"According to the law of conservation of mass, what must be true of a balanced chemical equation?",The total number of molecules on both sides of the equation must be equal.,The physical states of reactants and products must be the same.,The total mass of the reactants must equal the total mass of the products.,The total number of elements on each side of the arrow must be different.,C
3,2,Hard,Stoichiometry,Which of the following is the primary reason for balancing chemical equations?,To ensure the reaction occurs at a reasonable rate.,To satisfy the law of definite proportions.,"To accurately represent the molar ratios of reactants and products, consistent with the law of conservation of mass.",To predict the equilibrium constant for the reaction.,C
4,3,Easy,Chemical Equations,What is the primary goal when balancing a chemical equation?,To change the subscripts of the chemical formulas to equalize atoms.,To adjust the coefficients in front of the chemical formulas to conserve mass.,To remove elements from the equation until it is simplified.,To create new chemical compounds on the product side of the equation.,B
